Lossless tiff compression using 'Deflate'
Raw Filename|Renamed Filename
C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/22_tilescan_dir/raw/Mosaico_xy/B/3/3_t0_s11_ch00.tif|C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/22_tilescan_dir/testplate/W0015--B03--015/P011--B03--015/testplate--B03--015--W0015--P011--T0000--Z000--C00.tif
C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/22_tilescan_dir/raw/Mosaico_xy/B/3/3_t0_s11_ch01.tif|C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/22_tilescan_dir/testplate/W0015--B03--015/P011--B03--015/testplate--B03--015--W0015--P011--T0000--Z000--C01.tif
C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/22_tilescan_dir/raw/Mosaico_xy/B/3/3_t0_s12_ch00.tif|C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/22_tilescan_dir/testplate/W0015--B03--015/P012--B03--015/testplate--B03--015--W0015--P012--T0000--Z000--C00.tif
C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/22_tilescan_dir/raw/Mosaico_xy/B/3/3_t0_s12_ch01.tif|C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/22_tilescan_dir/testplate/W0015--B03--015/P012--B03--015/testplate--B03--015--W0015--P012--T0000--Z000--C01.tif
C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/22_tilescan_dir/raw/Mosaico_xy/B/3/3_t6_s11_ch00.tif|C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/22_tilescan_dir/testplate/W0015--B03--015/P011--B03--015/testplate--B03--015--W0015--P011--T0006--Z000--C00.tif
C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/22_tilescan_dir/raw/Mosaico_xy/B/3/3_t6_s11_ch01.tif|C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/22_tilescan_dir/testplate/W0015--B03--015/P011--B03--015/testplate--B03--015--W0015--P011--T0006--Z000--C01.tif
C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/22_tilescan_dir/raw/Mosaico_xy/B/3/3_t6_s12_ch00.tif|C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/22_tilescan_dir/testplate/W0015--B03--015/P012--B03--015/testplate--B03--015--W0015--P012--T0006--Z000--C00.tif
C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/22_tilescan_dir/raw/Mosaico_xy/B/3/3_t6_s12_ch01.tif|C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/22_tilescan_dir/testplate/W0015--B03--015/P012--B03--015/testplate--B03--015--W0015--P012--T0006--Z000--C01.tif
C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/22_tilescan_dir/raw/Mosaico_xy/C/4/4_t0_s11_ch00.tif|C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/22_tilescan_dir/testplate/W0028--C04--028/P011--C04--028/testplate--C04--028--W0028--P011--T0000--Z000--C00.tif
C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/22_tilescan_dir/raw/Mosaico_xy/C/4/4_t0_s11_ch01.tif|C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/22_tilescan_dir/testplate/W0028--C04--028/P011--C04--028/testplate--C04--028--W0028--P011--T0000--Z000--C01.tif
C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/22_tilescan_dir/raw/Mosaico_xy/C/4/4_t0_s12_ch00.tif|C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/22_tilescan_dir/testplate/W0028--C04--028/P012--C04--028/testplate--C04--028--W0028--P012--T0000--Z000--C00.tif
C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/22_tilescan_dir/raw/Mosaico_xy/C/4/4_t0_s12_ch01.tif|C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/22_tilescan_dir/testplate/W0028--C04--028/P012--C04--028/testplate--C04--028--W0028--P012--T0000--Z000--C01.tif
C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/22_tilescan_dir/raw/Mosaico_xy/C/4/4_t6_s11_ch00.tif|C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/22_tilescan_dir/testplate/W0028--C04--028/P011--C04--028/testplate--C04--028--W0028--P011--T0006--Z000--C00.tif
C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/22_tilescan_dir/raw/Mosaico_xy/C/4/4_t6_s11_ch01.tif|C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/22_tilescan_dir/testplate/W0028--C04--028/P011--C04--028/testplate--C04--028--W0028--P011--T0006--Z000--C01.tif
C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/22_tilescan_dir/raw/Mosaico_xy/C/4/4_t6_s12_ch00.tif|C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/22_tilescan_dir/testplate/W0028--C04--028/P012--C04--028/testplate--C04--028--W0028--P012--T0006--Z000--C00.tif
C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/22_tilescan_dir/raw/Mosaico_xy/C/4/4_t6_s12_ch01.tif|C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/22_tilescan_dir/testplate/W0028--C04--028/P012--C04--028/testplate--C04--028--W0028--P012--T0006--Z000--C01.tif
